Feature,Importance
Sales_Rolling4,0.8053318
Sales_Rolling8,0.055489566
is_holiday,0.018392185
Month,0.011862187
Week,0.011602701
Type_encoded,0.010045002
MarkDown3,0.010010696
MarkDown1,0.009979662
Dept,0.009964587
MarkDown3_by_type,0.0073005785
MarkDown4_by_type,0.0058362833
weeks_to_holiday,0.0054358267
Year,0.004585875
Unemployment,0.003670972
MarkDown2,0.0035562285
MarkDown2_by_type,0.0034501674
MarkDown4,0.0034213685
CPI,0.003267106
MarkDown5,0.0027407694
Quarter,0.0026741985
Temperature,0.0026315034
MarkDown5_by_type,0.0026013583
MarkDown1_by_type,0.002409441
Fuel_Price,0.0021058035
Store,0.001634183
